,Hotel,URL,Ratings,No_of_Reviews,Price
0,Sponsored      Universal's Aventura Hotel,https://www.tripadvisor.in/Hotel_Review-g34515-d12451425-Reviews-Universal_s_Aventura_Hotel-Orlando_Florida.html,4.5 of 5 bubbles,"2,244 reviews",185
1,1. Hyatt Regency Grand Cypress,https://www.tripadvisor.in/Hotel_Review-g34515-d144433-Reviews-Hyatt_Regency_Grand_Cypress-Orlando_Florida.html,4.5 of 5 bubbles,"8,673 reviews",287227
2,2. The Grove Resort & Water Park Orlando,https://www.tripadvisor.in/Hotel_Review-g34515-d10844379-Reviews-The_Grove_Resort_Water_Park_Orlando-Orlando_Florida.html,4.5 of 5 bubbles,"2,836 reviews",333
3,3. Hyatt Regency Orlando,https://www.tripadvisor.in/Hotel_Review-g34515-d112092-Reviews-Hyatt_Regency_Orlando-Orlando_Florida.html,4.5 of 5 bubbles,"9,934 reviews",290246
4,"4. Holiday Inn Orlando – Disney Springs Area, An IHG Hotel",https://www.tripadvisor.in/Hotel_Review-g34515-d85981-Reviews-Holiday_Inn_Orlando_Disney_Springs_Area_An_IHG_Hotel-Orlando_Florida.html,4.5 of 5 bubbles,"4,545 reviews",114
5,5. Wyndham Grand Orlando Resort Bonnet Creek,https://www.tripadvisor.in/Hotel_Review-g34515-d2207809-Reviews-Wyndham_Grand_Orlando_Resort_Bonnet_Creek-Orlando_Florida.html,4.5 of 5 bubbles,"6,873 reviews",169
6,Sponsored      Universal's Endless Summer Resort - Surfside Inn and Suites,https://www.tripadvisor.in/Hotel_Review-g34515-d15021774-Reviews-Universal_s_Endless_Summer_Resort_Surfside_Inn_and_Suites-Orlando_Florida.html,4 of 5 bubbles,"1,298 reviews",145
7,6. Universal's Cabana Bay Beach Resort,https://www.tripadvisor.in/Hotel_Review-g34515-d3932244-Reviews-Universal_s_Cabana_Bay_Beach_Resort-Orlando_Florida.html,4 of 5 bubbles,"23,412 reviews",185
8,7. Universal’s Endless Summer Resort – Dockside Inn and Suites,https://www.tripadvisor.in/Hotel_Review-g34515-d17765126-Reviews-Universal_s_Endless_Summer_Resort_Dockside_Inn_and_Suites-Orlando_Florida.html,4 of 5 bubbles,"1,698 reviews",145
9,8. Coco Key Hotel and Water Park Resort,https://www.tripadvisor.in/Hotel_Review-g34515-d651575-Reviews-Coco_Key_Hotel_and_Water_Park_Resort-Orlando_Florida.html,4 of 5 bubbles,575 reviews,87
10,"9. Holiday Inn Resort Orlando Suites - Waterpark, an IHG Hotel",https://www.tripadvisor.in/Hotel_Review-g34515-d144437-Reviews-Holiday_Inn_Resort_Orlando_Suites_Waterpark_an_IHG_Hotel-Orlando_Florida.html,3.5 of 5 bubbles,"2,150 reviews",13889
11,10. Avanti International Resort,https://www.tripadvisor.in/Hotel_Review-g34515-d80178-Reviews-Avanti_International_Resort-Orlando_Florida.html,4 of 5 bubbles,"7,879 reviews",79
12,Sponsored      Universal’s Endless Summer Resort – Dockside Inn and Suites,https://www.tripadvisor.in/Hotel_Review-g34515-d17765126-Reviews-Universal_s_Endless_Summer_Resort_Dockside_Inn_and_Suites-Orlando_Florida.html,4 of 5 bubbles,"1,698 reviews",145
13,11. Loews Sapphire Falls Resort at Universal Orlando,https://www.tripadvisor.in/Hotel_Review-g34515-d8715403-Reviews-Loews_Sapphire_Falls_Resort_at_Universal_Orlando-Orlando_Florida.html,4.5 of 5 bubbles,"6,260 reviews",284
14,12. Avanti Palms Resort and Conference Center,https://www.tripadvisor.in/Hotel_Review-g34515-d13837513-Reviews-Avanti_Palms_Resort_and_Conference_Center-Orlando_Florida.html,4 of 5 bubbles,"1,447 reviews",83
15,13. Wyndham Garden Orlando Universal / I Drive,https://www.tripadvisor.in/Hotel_Review-g34515-d21231734-Reviews-Wyndham_Garden_Orlando_Universal_I_Drive-Orlando_Florida.html,4.5 of 5 bubbles,182 reviews,100
16,14. Rosen Plaza Hotel,https://www.tripadvisor.in/Hotel_Review-g34515-d263315-Reviews-Rosen_Plaza_Hotel-Orlando_Florida.html,4 of 5 bubbles,"3,002 reviews",174
17,15. Caribe Royale Orlando,https://www.tripadvisor.in/Hotel_Review-g34515-d88196-Reviews-Caribe_Royale_Orlando-Orlando_Florida.html,4 of 5 bubbles,"5,401 reviews",189
18,Sponsored      Loews Sapphire Falls Resort at Universal Orlando,https://www.tripadvisor.in/Hotel_Review-g34515-d8715403-Reviews-Loews_Sapphire_Falls_Resort_at_Universal_Orlando-Orlando_Florida.html,4.5 of 5 bubbles,"6,260 reviews",284
19,16. Rosen Inn at Pointe Orlando,https://www.tripadvisor.in/Hotel_Review-g34515-d85401-Reviews-Rosen_Inn_at_Pointe_Orlando-Orlando_Florida.html,4 of 5 bubbles,"9,628 reviews",89
20,17. Hilton Grand Vacations Club SeaWorld Orlando,https://www.tripadvisor.in/Hotel_Review-g34515-d223711-Reviews-Hilton_Grand_Vacations_Club_SeaWorld_Orlando-Orlando_Florida.html,4 of 5 bubbles,"5,434 reviews",151116
21,18. Universal's Aventura Hotel,https://www.tripadvisor.in/Hotel_Review-g34515-d12451425-Reviews-Universal_s_Aventura_Hotel-Orlando_Florida.html,4.5 of 5 bubbles,"2,244 reviews",185
22,19. DoubleTree by Hilton Hotel at the Entrance to Universal Orlando,https://www.tripadvisor.in/Hotel_Review-g34515-d123527-Reviews-DoubleTree_by_Hilton_Hotel_at_the_Entrance_to_Universal_Orlando-Orlando_Florida.html,4 of 5 bubbles,"1,978 reviews",136101
23,20. Hyatt House Across from Universal Orlando Resort,https://www.tripadvisor.in/Hotel_Review-g34515-d14181778-Reviews-Hyatt_House_Across_from_Universal_Orlando_Resort-Orlando_Florida.html,4.5 of 5 bubbles,619 reviews,140
24,"Sponsored      Holiday Inn Orlando – Disney Springs Area, An IHG Hotel",https://www.tripadvisor.in/Hotel_Review-g34515-d85981-Reviews-Holiday_Inn_Orlando_Disney_Springs_Area_An_IHG_Hotel-Orlando_Florida.html,4.5 of 5 bubbles,"4,545 reviews",151
25,21. Signia by Hilton Orlando Bonnet Creek,https://www.tripadvisor.in/Hotel_Review-g34515-d1308392-Reviews-Signia_by_Hilton_Orlando_Bonnet_Creek-Orlando_Florida.html,4.5 of 5 bubbles,"8,131 reviews",277
26,22. B Resort & Spa Disney Springs Resort Area,https://www.tripadvisor.in/Hotel_Review-g34515-d6418742-Reviews-B_Resort_Spa_Disney_Springs_Resort_Area-Orlando_Florida.html,4 of 5 bubbles,"4,260 reviews",102
27,23. TownePlace Suites Orlando at SeaWorld,https://www.tripadvisor.in/Hotel_Review-g34515-d12301481-Reviews-TownePlace_Suites_Orlando_at_SeaWorld-Orlando_Florida.html,4.5 of 5 bubbles,488 reviews,135
28,24. Disney's All-Star Movies Resort,https://www.tripadvisor.in/Hotel_Review-g34515-d112074-Reviews-Disney_s_All_Star_Movies_Resort-Orlando_Florida.html,4 of 5 bubbles,"7,972 reviews",217
29,25. Hilton Vacation Club Mystic Dunes Orlando,https://www.tripadvisor.in/Hotel_Review-g34127-d254748-Reviews-Hilton_Vacation_Club_Mystic_Dunes_Orlando-Celebration_Orlando_Florida.html,4 of 5 bubbles,"4,307 reviews",130
30,Sponsored      Signia by Hilton Orlando Bonnet Creek,https://www.tripadvisor.in/Hotel_Review-g34515-d1308392-Reviews-Signia_by_Hilton_Orlando_Bonnet_Creek-Orlando_Florida.html,4.5 of 5 bubbles,"8,131 reviews",322
31,26. Disney's Coronado Springs Resort,https://www.tripadvisor.in/Hotel_Review-g34515-d120307-Reviews-Disney_s_Coronado_Springs_Resort-Orlando_Florida.html,4 of 5 bubbles,"7,817 reviews",310
32,27. Walt Disney World Dolphin,https://www.tripadvisor.in/Hotel_Review-g34515-d84907-Reviews-Walt_Disney_World_Dolphin-Orlando_Florida.html,3.5 of 5 bubbles,"1,683 reviews",257
33,28. DoubleTree by Hilton Hotel Orlando at SeaWorld,https://www.tripadvisor.in/Hotel_Review-g34515-d85452-Reviews-DoubleTree_by_Hilton_Hotel_Orlando_at_SeaWorld-Orlando_Florida.html,4 of 5 bubbles,"9,025 reviews",136
34,29. Monumental MovieLand,https://www.tripadvisor.in/Hotel_Review-g34515-d274618-Reviews-Monumental_MovieLand-Orlando_Florida.html,3 of 5 bubbles,"1,818 reviews",65
35,30. La Quinta Inn & Suites by Wyndham Orlando South,https://www.tripadvisor.in/Hotel_Review-g34515-d620648-Reviews-La_Quinta_Inn_Suites_by_Wyndham_Orlando_South-Orlando_Florida.html,3.5 of 5 bubbles,714 reviews,75
36,"Sponsored      Holiday Inn Resort Orlando Suites - Waterpark, an IHG Hotel",https://www.tripadvisor.in/Hotel_Review-g34515-d144437-Reviews-Holiday_Inn_Resort_Orlando_Suites_Waterpark_an_IHG_Hotel-Orlando_Florida.html,3.5 of 5 bubbles,"2,150 reviews",138
